rejected,Accepted,Total_Overall_Working_time,Request_Status_Name,Created_DateTime,Request_Item_Name,Country_Name_EN,Sector_Name,Total_Working_Time,Port_Name,Importer_Name,Importer_Type,Request_Item_tarrifCode_desc,Calculate_Inspection,reason
0,1,5,Completed,2019-02-06 13:07:26.000,Accepted,TURKEY,Drug,5,مطار الملك خالد الدولي,مؤسسة رؤى الطبيعة للتجارة,شركة / مؤسسة / مصنع سعودي,Other,0,NULL
0,1,365,Completed,2019-02-06 13:08:33.000,Accepted,UNITED ARAB EMIRATE,Drug,365,ميناء جده الاسلامي,مجموعه المصباح التجارية,شركة / مؤسسة / مصنع سعودي,Other,0,NULL
0,1,76,Completed,2019-02-06 13:08:59.000,Accepted,PHILIPPINES,Drug,76,ميناء الملك عبدالعزيز الدمام,مؤسسة نجمة المفيض التجارية لصاحبتها لطيفه عبدالله الجربوع,شركة / مؤسسة / مصنع سعودي,NULL,0,NULL
0,1,4277,Completed,2019-02-06 13:15:58.000,Accepted,INDIA,Drug,95,ميناء الملك عبدالعزيز الدمام,شركة ساره المتحده,شركة / مؤسسة / مصنع سعودي,Natural Butter,0,NULL
0,1,18,Completed,2019-02-06 13:17:42.000,Accepted,ITALY,Drug,18,ميناء الرياض الجاف,شركة دار ماضي العالمية,شركة / مؤسسة / مصنع سعودي,"Mushrooms of the genus Agaricus, prepared with other than vinegar",0,NULL
0,1,15773,Completed,2019-02-06 13:39:36.000,Rejected,CHINA,Drug,165,ميناء جده الاسلامي,شركة كمال عثمان جمجوم للتجارة,شركة / مؤسسة / مصنع سعودي,- Sunglasses,0,عدم تثبيت بطاقة تعريفية على المنتج تحتوي على اسم المصنع
0,0,329,Completed,2019-02-06 13:43:40.000,Accepted,SINGAPORE,Drug,329,ميناء جده الاسلامي,شركة التوابل العربية التجارية,شركة / مؤسسة / مصنع سعودي,- - - Other,0,NULL
0,1,50,Completed,2019-02-06 13:54:04.000,Accepted,UNITED ARAB EMIRATE,Drug,50,ميناء الملك عبدالعزيز الدمام,مؤسسة العويد التجارية,شركة / مؤسسة / مصنع سعودي,Frozen uncut fowls (broilers),0,NULL
0,1,12,Completed,2019-02-06 14:20:55.000,Accepted,UNITED ARAB EMIRATE,Drug,12,ميناء الملك عبدالعزيز الدمام,شركة لوريال العربية السعودية,شركة/مؤسسة/استثمارية,- - - Artificial kidney (dialysis) apparatus,0,NULL
0,0,37492,Not Completed,2019-02-06 15:33:33.000,Accepted,CHINA,Drug,156,ميناء جده الاسلامي,مؤسسة زينة العالميه لمستلزمات التجميل التجارية,شركة / مؤسسة / مصنع سعودي,- - - - Other,1,NULL
